date,h0,h1,h2,h3,h4
2021-08-15,0.0,0.0,0.0,1.0,1.0
2022-01-14,0.0,0.0,1.0,1.1724725e-15,4.989094e-37
2024-10-10,0.0,0.0,0.0,1.0,0.0
2023-09-29,0.0,0.0,0.0,1.0,1.0
2020-07-27,0.0,0.0,0.0,1.0,1.0
2020-12-08,0.0,0.0,0.0,1.0,0.0
2024-05-29,0.0,1.0,0.0,1.0,0.0
2024-04-30,0.0,1.0,0.0,0.0,1.0
2023-03-31,0.0,0.0,1.0,0.0,1.0
2021-07-14,0.0,1.0,0.0,1.0,0.0
2024-10-02,0.0,0.0,0.0,1.0,1.0
2021-06-21,0.0,1.0,0.0,1.0,0.0
2020-06-03,0.0,1.0,0.0,1.0,0.0
2024-10-25,0.0,0.0,0.0,1.0,0.0
2024-07-22,0.0,1.0,0.0,1.0,0.0
2019-12-26,0.0,0.9997477,0.0004592111,5.225041e-20,1.0
2022-12-25,0.0,0.0,1.0,1.0,0.0
2024-03-14,0.0,0.0,0.0,0.0,1.0
2020-10-30,0.0,0.0,0.0,1.0,1.0
2021-08-10,0.0,0.0,0.0,1.0,0.0
2022-07-28,0.0,0.0,0.0,1.0,1.0
2023-10-20,0.0,0.0,0.0,1.0,1.0
2019-06-30,0.0,1.0,0.0,1.0,1.0
2022-02-14,1.0,0.0,1.0,0.0,0.0
2023-01-17,0.0,0.0,1.0,1.0,0.0
2022-03-29,0.0,0.0,0.0,0.0,1.0
2020-05-04,0.0,1.0,1.0,0.0,1.0
2020-06-21,0.0,0.0,0.0,1.0,0.0
2022-03-21,0.0,0.0,0.0,0.0,1.0
2022-01-10,0.0,0.0,1.0,2.017558e-06,0.0
2023-01-10,0.0,0.0,1.0,1.0,0.0
2023-01-12,0.0,0.0,1.0,1.0,0.0
2021-01-12,1.0,0.0,1.5389458e-25,0.0,0.0
2024-06-30,0.0,0.0,0.0,1.0,0.0
2020-10-06,0.0,0.0,0.0,1.0,1.0
2022-08-02,0.0,0.0,0.0,1.0,1.0
2022-08-23,0.0,1.0,0.0,1.0,1.0
2023-01-01,0.0,0.0,1.0,1.0,0.0
2022-11-03,0.0,0.0,1.0,1.0,0.0
2021-10-07,0.0,1.0,0.0,1.0,0.0
2020-02-28,1.0,0.0,1.0,0.0,0.0
2023-12-26,0.0,0.0,1.0,1.0,0.0
2020-09-03,0.0,1.0,0.0,1.0,0.0
2024-11-21,0.0,0.0,0.0,1.0,0.0
2022-09-21,0.0,0.0,0.0,1.0,1.0
2024-05-30,0.0,1.0,0.0,1.0,0.0
2020-08-21,0.0,0.0,0.0,1.0,1.0
2020-06-13,0.0,1.0,0.0,1.0,0.0
2020-06-18,0.0,1.2054887e-09,0.0,1.0,0.0
2023-04-10,0.0,1.0,1.0,0.0,1.0
2024-08-20,0.0,0.0,0.0,1.0,1.0
2022-06-11,0.0,1.0,0.0,1.0,0.0
2020-05-21,0.0,1.0,0.0,0.0,1.0
2024-10-06,0.0,0.0,0.0,1.0,0.0
2022-06-05,0.0,1.0,0.0,1.0,0.0
2020-01-22,0.0,1.7066595e-08,1.0,0.0,1.0
2023-05-11,0.0,1.0,2.890348e-18,0.0,1.0
2021-07-07,0.0,1.0,0.0,1.0,0.0
2022-02-24,1.0,0.0,0.0,0.0,0.0
2019-09-25,0.0,0.0,0.0,1.0,1.0
